Time'QW   0'DW  10'DW  11'DW  12'DW  13'DW  14'DW  15'DW  16'DW  17'DW  90'DW  91'DW  92'DW 163'DW 165'DW 166'
 8: 4:46,269'F53A'+01424'-00067'+00791'+07817'+07642'+00164'+00251'+01519'+01872'+00000'+02130'+00282'+00282'+00282'
 8: 4:46,584'F53A'+01426'-00067'+00791'+07815'+07642'+00164'+00251'+01519'+01872'+00000'+02130'+00282'+00282'+00282'
 8: 4:46,825'F53A'+01427'-00067'+00791'+07817'+07642'+00164'+00251'+01519'+01872'+00000'+02130'+00282'+00282'+00282'
 8: 4:47, 95'F53A'+01429'-00067'+00791'+07817'+07642'+00164'+00251'+01519'+01872'+00000'+02130'+00282'+00282'+00282'
 8: 4:47,350'F53A'+01430'-00067'+00791'+07816'+07642'+00164'+00251'+01519'+01872'+00000'+02130'+00282'+00282'+00282'
 8: 4:47,621'F53A'+01431'-00067'+00791'+07817'+07642'+00163'+00251'+01519'+01872'+00000'+02129'+00282'+00282'+00282'
 8: 4:47,876'F53A'+01433'-00067'+00791'+07817'+07642'+00163'+00252'+01519'+01872'+00000'+02129'+00282'+00282'+00282'
 8: 4:48,132'F53A'+01434'-00066'+00791'+07817'+07642'+00163'+00251'+01519'+01872'+00000'+02129'+00282'+00282'+00282'
 8: 4:48,387'F53A'+01436'-00066'+00791'+07817'+07642'+00163'+00252'+01519'+01872'+00000'+02129'+00282'+00282'+00282'
 8: 4:48,627'F53A'+01437'-00067'+00790'+07817'+07642'+00162'+00252'+01519'+01872'+00000'+02129'+00282'+00282'+00282'
 8: 4:48,883'F53A'+01438'-00067'+00791'+07815'+07644'+00162'+00252'+01519'+01872'+00000'+02129'+00282'+00282'+00282'
 8: 4:49,153'F53A'+01440'-00066'+00791'+07817'+07642'+00162'+00252'+01519'+01872'+00000'+02129'+00282'+00282'+00282'
 8: 4:49,408'F53A'+01441'-00066'+00791'+07817'+07642'+00162'+00252'+01519'+01872'+00000'+02129'+00281'+00281'+00281'
 8: 4:49,649'F53A'+01442'-00066'+00788'+07817'+07642'+00162'+00252'+01519'+01872'+00000'+02129'+00281'+00281'+00281'
 8: 4:49,919'F53A'+01444'-00066'+00788'+07817'+07642'+00161'+00252'+01519'+01872'+00000'+02128'+00281'+00281'+00281'
 8: 4:50,174'F53A'+01445'-00066'+00788'+07817'+07642'+00161'+00252'+01519'+01872'+00000'+02128'+00281'+00281'+00281'
 8: 4:50,445'F53A'+01446'-00066'+00788'+07817'+07642'+00161'+00252'+01519'+01872'+00000'+02128'+00281'+00281'+00281'
 8: 4:50,715'F53A'+01448'-00066'+00788'+07817'+07642'+00161'+00252'+01519'+01872'+00000'+02128'+00281'+00281'+00281'
 8: 4:50,971'F53A'+01449'-00066'+00791'+07815'+07642'+00161'+00251'+01519'+01872'+00000'+02128'+00281'+00281'+00281'
 8: 4:51,241'F53A'+01451'-00066'+00791'+07815'+07644'+00160'+00252'+01519'+01872'+00000'+02128'+00281'+00281'+00281'
 8: 4:51,481'F53A'+01452'-00066'+00791'+07817'+07642'+00160'+00252'+01519'+01872'+00000'+02128'+00281'+00281'+00281'
 8: 4:51,737'F53A'+01453'-00066'+00791'+07817'+07642'+00160'+00251'+01519'+01872'+00000'+02128'+00281'+00281'+00281'
 8: 4:52,  7'F53A'+01455'-00066'+00791'+07817'+07644'+00160'+00252'+01519'+01872'+00000'+02128'+00281'+00281'+00281'
 8: 4:52,277'F53A'+01456'-00066'+00791'+07817'+07642'+00160'+00252'+01519'+01872'+00000'+02128'+00281'+00281'+00281'
 8: 4:52,503'F53A'+01458'-00066'+00791'+07817'+07644'+00160'+00252'+01519'+01872'+00000'+02128'+00281'+00281'+00281'
 8: 4:52,773'F53A'+01459'-00066'+00791'+07817'+07642'+00159'+00252'+01519'+01872'+00000'+02127'+00280'+00280'+00280'
 8: 4:53, 14'F53A'+01460'-00066'+00791'+07817'+07642'+00159'+00252'+01519'+01872'+00000'+02127'+00280'+00280'+00280'
 8: 4:53,269'F53A'+01462'-00066'+00791'+07817'+07642'+00159'+00252'+01519'+01872'+00000'+02127'+00280'+00280'+00280'
 8: 4:53,539'F53A'+01463'-00066'+00791'+07817'+07644'+00159'+00252'+01519'+01872'+00000'+02127'+00280'+00280'+00280'
 8: 4:53,795'F53A'+01464'-00066'+00791'+07817'+07642'+00159'+00252'+01519'+01872'+00000'+02127'+00280'+00280'+00280'
 8: 4:54, 65'F53A'+01466'-00066'+00791'+07817'+07644'+00158'+00252'+01519'+01872'+00000'+02127'+00280'+00280'+00280'
 8: 4:54,305'F53A'+01467'-00066'+00791'+07817'+07642'+00158'+00252'+01519'+01872'+00000'+02127'+00280'+00280'+00280'
 8: 4:54,576'F53A'+01468'-00066'+00791'+07817'+07642'+00158'+00252'+01519'+01872'+00000'+02127'+00280'+00280'+00280'
 8: 4:54,831'F53A'+01470'-00066'+00791'+07817'+07644'+00158'+00252'+01519'+01872'+00000'+02127'+00280'+00280'+00280'
 8: 4:55,102'F53A'+01471'-00066'+00791'+07817'+07644'+00158'+00252'+01519'+01872'+00000'+02127'+00280'+00280'+00280'
 8: 4:55,342'F53A'+01473'-00066'+00791'+07817'+07642'+00157'+00252'+01519'+01872'+00000'+02126'+00280'+00280'+00280'
 8: 4:55,597'F53A'+01474'-00066'+00791'+07817'+07642'+00157'+00252'+01519'+01872'+00000'+02126'+00280'+00280'+00280'
 8: 4:55,868'F53A'+01475'-00066'+00791'+07817'+07644'+00157'+00252'+01519'+01872'+00000'+02126'+00280'+00280'+00280'
 8: 4:56,138'F53A'+01477'-00066'+00791'+07817'+07642'+00157'+00251'+01519'+01872'+00000'+02126'+00280'+00280'+00280'
 8: 4:56,408'F53A'+01478'-00065'+00791'+07817'+07644'+00157'+00252'+01519'+01872'+00000'+02126'+00280'+00280'+00280'
 8: 4:56,649'F53A'+01480'-00065'+00791'+07817'+07644'+00156'+00252'+01519'+01872'+00000'+02126'+00280'+00280'+00280'
 8: 4:56,919'F53A'+01481'-00065'+00791'+07817'+07642'+00156'+00251'+01519'+01872'+00000'+02126'+00280'+00280'+00280'
 8: 4:57,190'F53A'+01482'-00065'+00791'+07817'+07642'+00156'+00251'+01519'+01872'+00000'+02126'+00280'+00280'+00280'
 8: 4:57,445'F53A'+01484'-00065'+00791'+07817'+07644'+00156'+00251'+01519'+01872'+00000'+02126'+00280'+00280'+00280'
 8: 4:57,730'F53A'+01485'-00065'+00792'+07817'+07642'+00156'+00252'+01519'+01872'+00000'+02126'+00280'+00280'+00280'
 8: 4:58,  1'F53A'+01487'-00065'+00792'+07817'+07644'+00155'+00251'+01519'+01872'+00000'+02125'+00280'+00280'+00280'
 8: 4:58,241'F53A'+01488'-00065'+00791'+07817'+07642'+00155'+00252'+01519'+01872'+00000'+02125'+00280'+00280'+00280'
 8: 4:58,511'F53A'+01489'-00065'+00791'+07817'+07642'+00155'+00252'+01519'+01872'+00000'+02125'+00280'+00280'+00280'
 8: 4:58,767'F53A'+01491'-00065'+00791'+07817'+07644'+00155'+00252'+01519'+01872'+00000'+02125'+00280'+00280'+00280'
 8: 4:59, 37'F53A'+01492'-00065'+00791'+07817'+07642'+00155'+00252'+01519'+01872'+00000'+02125'+00280'+00280'+00280'
 8: 4:59,293'F53A'+01493'-00065'+00791'+07817'+07642'+00154'+00252'+01519'+01872'+00000'+02125'+00280'+00280'+00280'
 8: 4:59,563'F53A'+01495'-00065'+00791'+07817'+07642'+00154'+00252'+01519'+01872'+00000'+02125'+00280'+00280'+00280'
 8: 4:59,818'F53A'+01496'-00065'+00791'+07817'+07642'+00154'+00252'+01519'+01872'+00000'+02125'+00280'+00280'+00280'
 8: 5: 0, 59'F53A'+01498'-00065'+00791'+07817'+07644'+00154'+00252'+01519'+01872'+00000'+02125'+00280'+00280'+00280'
 8: 5: 0,344'F53A'+01499'-00065'+00791'+07817'+07642'+00154'+00251'+01519'+01872'+00000'+02125'+00280'+00280'+00280'
 8: 5: 0,614'F53A'+01501'-00065'+00791'+07815'+07642'+00153'+00251'+01519'+01872'+00000'+02124'+00280'+00280'+00280'
 8: 5: 0,900'F53A'+01502'-00065'+00791'+07817'+07644'+00153'+00252'+01519'+01872'+00000'+02124'+00280'+00280'+00280'
 8: 5: 1,155'F53A'+01503'-00065'+00791'+07817'+07644'+00153'+00251'+01519'+01872'+00000'+02124'+00280'+00280'+00280'
 8: 5: 1,411'F53A'+01505'-00065'+00791'+07817'+07644'+00153'+00251'+01519'+01872'+00000'+02124'+00280'+00280'+00280'
 8: 5: 1,666'F53A'+01506'-00065'+00788'+07817'+07642'+00153'+00251'+01519'+01872'+00000'+02124'+00280'+00280'+00280'
