Адрес'A0.0'A0.1'A0.2'A0.3'A0.4'A0.5'A0.6'A0.7'A1.0'A1.1'A1.2'A1.3'A1.4'A1.5'A1.6'A1.7'DB10'DB10'DB10'DB10'DB10'DB10'DB10'DB10'DB10'DB10'DB10'DB10'DB10'DB10'
Имя'Z2'Z2R'Z1'Z1R'J'Z5'V1'V2'E1'E2'E3'M'F'D'H1'H2' DW10' DW11' DW12' DW13' DW14' DW15' DW16' DW17' DW90' DW91' DW92' DW163' DW165' DW166'
Комментарий'nasos 2 na linii 250 bar'nasos 2 na linii 200 bar'nasos 1 na linii 250 bar'nasos 1 na linii 200 bar'soedinenie nasosa 1 - nasosa 2'wspomogatelxnyj nasos 5 na linii'akkumulqtornaq batareq 1 na linii'akkumulqtornaq batareq 2 na linii'nazad puanson'snqtie prodwiveniq puansona'wkl.akkumulqtorow dlq prodwiv.puansona'wpered puanson - pressowanie'dekompressiq 0'zakrytx napolnitelxnyj klapan'zakrytx kontejner'otkrytx kontejner' poziciya pusnsona' poziciya kontejnera' poziciya nozha' poziciya zagr 1' poziciya zagr 2' davlenie gc' davlenie prizhima kontejnera' poziciya nk' rashod RSV7' rashod RSV5' rashod RSV6' vyhodnaya skorost petli os' rashod nasosa 2' rashod nasosa 1'
 8: 4:46,269'1'0'1'0'1'1'1'1'0'1'0'1'1'1'0'0'+01424'-00067'+00791'+07817'+07642'+00164'+00251'+01519'+01872'+00000'+02130'+00282'+00282'+00282'
 8: 4:46,584'1'0'1'0'1'1'1'1'0'1'0'1'1'1'0'0'+01426'-00067'+00791'+07815'+07642'+00164'+00251'+01519'+01872'+00000'+02130'+00282'+00282'+00282'
 8: 4:46,825'1'0'1'0'1'1'1'1'0'1'0'1'1'1'0'0'+01427'-00067'+00791'+07817'+07642'+00164'+00251'+01519'+01872'+00000'+02130'+00282'+00282'+00282'
 8: 4:47, 95'1'0'1'0'1'1'1'1'0'1'0'1'1'1'0'0'+01429'-00067'+00791'+07817'+07642'+00164'+00251'+01519'+01872'+00000'+02130'+00282'+00282'+00282'
 8: 4:47,350'1'0'1'0'1'1'1'1'0'1'0'1'1'1'0'0'+01430'-00067'+00791'+07816'+07642'+00164'+00251'+01519'+01872'+00000'+02130'+00282'+00282'+00282'
 8: 4:47,621'1'0'1'0'1'1'1'1'0'1'0'1'1'1'0'0'+01431'-00067'+00791'+07817'+07642'+00163'+00251'+01519'+01872'+00000'+02129'+00282'+00282'+00282'
 8: 4:47,876'1'0'1'0'1'1'1'1'0'1'0'1'1'1'0'0'+01433'-00067'+00791'+07817'+07642'+00163'+00252'+01519'+01872'+00000'+02129'+00282'+00282'+00282'
 8: 4:48,132'1'0'1'0'1'1'1'1'0'1'0'1'1'1'0'0'+01434'-00066'+00791'+07817'+07642'+00163'+00251'+01519'+01872'+00000'+02129'+00282'+00282'+00282'
 8: 4:48,387'1'0'1'0'1'1'1'1'0'1'0'1'1'1'0'0'+01436'-00066'+00791'+07817'+07642'+00163'+00252'+01519'+01872'+00000'+02129'+00282'+00282'+00282'
 8: 4:48,627'1'0'1'0'1'1'1'1'0'1'0'1'1'1'0'0'+01437'-00067'+00790'+07817'+07642'+00162'+00252'+01519'+01872'+00000'+02129'+00282'+00282'+00282'
 8: 4:48,883'1'0'1'0'1'1'1'1'0'1'0'1'1'1'0'0'+01438'-00067'+00791'+07815'+07644'+00162'+00252'+01519'+01872'+00000'+02129'+00282'+00282'+00282'
 8: 4:49,153'1'0'1'0'1'1'1'1'0'1'0'1'1'1'0'0'+01440'-00066'+00791'+07817'+07642'+00162'+00252'+01519'+01872'+00000'+02129'+00282'+00282'+00282'
 8: 4:49,408'1'0'1'0'1'1'1'1'0'1'0'1'1'1'0'0'+01441'-00066'+00791'+07817'+07642'+00162'+00252'+01519'+01872'+00000'+02129'+00281'+00281'+00281'
 8: 4:49,649'1'0'1'0'1'1'1'1'0'1'0'1'1'1'0'0'+01442'-00066'+00788'+07817'+07642'+00162'+00252'+01519'+01872'+00000'+02129'+00281'+00281'+00281'
 8: 4:49,919'1'0'1'0'1'1'1'1'0'1'0'1'1'1'0'0'+01444'-00066'+00788'+07817'+07642'+00161'+00252'+01519'+01872'+00000'+02128'+00281'+00281'+00281'
 8: 4:50,174'1'0'1'0'1'1'1'1'0'1'0'1'1'1'0'0'+01445'-00066'+00788'+07817'+07642'+00161'+00252'+01519'+01872'+00000'+02128'+00281'+00281'+00281'
 8: 4:50,445'1'0'1'0'1'1'1'1'0'1'0'1'1'1'0'0'+01446'-00066'+00788'+07817'+07642'+00161'+00252'+01519'+01872'+00000'+02128'+00281'+00281'+00281'
 8: 4:50,715'1'0'1'0'1'1'1'1'0'1'0'1'1'1'0'0'+01448'-00066'+00788'+07817'+07642'+00161'+00252'+01519'+01872'+00000'+02128'+00281'+00281'+00281'
 8: 4:50,971'1'0'1'0'1'1'1'1'0'1'0'1'1'1'0'0'+01449'-00066'+00791'+07815'+07642'+00161'+00251'+01519'+01872'+00000'+02128'+00281'+00281'+00281'
 8: 4:51,241'1'0'1'0'1'1'1'1'0'1'0'1'1'1'0'0'+01451'-00066'+00791'+07815'+07644'+00160'+00252'+01519'+01872'+00000'+02128'+00281'+00281'+00281'
 8: 4:51,481'1'0'1'0'1'1'1'1'0'1'0'1'1'1'0'0'+01452'-00066'+00791'+07817'+07642'+00160'+00252'+01519'+01872'+00000'+02128'+00281'+00281'+00281'
 8: 4:51,737'1'0'1'0'1'1'1'1'0'1'0'1'1'1'0'0'+01453'-00066'+00791'+07817'+07642'+00160'+00251'+01519'+01872'+00000'+02128'+00281'+00281'+00281'
 8: 4:52,  7'1'0'1'0'1'1'1'1'0'1'0'1'1'1'0'0'+01455'-00066'+00791'+07817'+07644'+00160'+00252'+01519'+01872'+00000'+02128'+00281'+00281'+00281'
 8: 4:52,277'1'0'1'0'1'1'1'1'0'1'0'1'1'1'0'0'+01456'-00066'+00791'+07817'+07642'+00160'+00252'+01519'+01872'+00000'+02128'+00281'+00281'+00281'
