Time'QW   0'DW  10'DW  11'DW  12'DW  13'DW  14'DW  15'DW  16'DW  17'DW  90'DW  91'DW  92'DW 163'DW 165'DW 166'
 8: 4:46,269'F53A'+01424'-00067'+00791'+07817'+07642'+00164'+00251'+01519'+01872'+00000'+02130'+00282'+00282'+00282'
 8: 4:46,584'F53A'+01426'-00067'+00791'+07815'+07642'+00164'+00251'+01519'+01872'+00000'+02130'+00282'+00282'+00282'
 8: 4:46,825'F53A'+01427'-00067'+00791'+07817'+07642'+00164'+00251'+01519'+01872'+00000'+02130'+00282'+00282'+00282'
 8: 4:47, 95'F53A'+01429'-00067'+00791'+07817'+07642'+00164'+00251'+01519'+01872'+00000'+02130'+00282'+00282'+00282'
 8: 4:47,350'F53A'+01430'-00067'+00791'+07816'+07642'+00164'+00251'+01519'+01872'+00000'+02130'+00282'+00282'+00282'
 8: 4:47,621'F53A'+01431'-00067'+00791'+07817'+07642'+00163'+00251'+01519'+01872'+00000'+02129'+00282'+00282'+00282'
 8: 4:47,876'F53A'+01433'-00067'+00791'+07817'+07642'+00163'+00252'+01519'+01872'+00000'+02129'+00282'+00282'+00282'
 8: 4:48,132'F53A'+01434'-00066'+00791'+07817'+07642'+00163'+00251'+01519'+01872'+00000'+02129'+00282'+00282'+00282'
 8: 4:48,387'F53A'+01436'-00066'+00791'+07817'+07642'+00163'+00252'+01519'+01872'+00000'+02129'+00282'+00282'+00282'
 8: 4:48,627'F53A'+01437'-00067'+00790'+07817'+07642'+00162'+00252'+01519'+01872'+00000'+02129'+00282'+00282'+00282'
 8: 4:48,883'F53A'+01438'-00067'+00791'+07815'+07644'+00162'+00252'+01519'+01872'+00000'+02129'+00282'+00282'+00282'
 8: 4:49,153'F53A'+01440'-00066'+00791'+07817'+07642'+00162'+00252'+01519'+01872'+00000'+02129'+00282'+00282'+00282'
 8: 4:49,408'F53A'+01441'-00066'+00791'+07817'+07642'+00162'+00252'+01519'+01872'+00000'+02129'+00281'+00281'+00281'
 8: 4:49,649'F53A'+01442'-00066'+00788'+07817'+07642'+00162'+00252'+01519'+01872'+00000'+02129'+00281'+00281'+00281'
 8: 4:49,919'F53A'+01444'-00066'+00788'+07817'+07642'+00161'+00252'+01519'+01872'+00000'+02128'+00281'+00281'+00281'
 8: 4:50,174'F53A'+01445'-00066'+00788'+07817'+07642'+00161'+00252'+01519'+01872'+00000'+02128'+00281'+00281'+00281'
 8: 4:50,445'F53A'+01446'-00066'+00788'+07817'+07642'+00161'+00252'+01519'+01872'+00000'+02128'+00281'+00281'+00281'

