Адрес'E1.0'E1.1'E1.2'E1.3'E1.4'E1.5'E1.6'E1.7'E2.0'E2.1'E2.2'E2.3'E2.4'E2.5'E2.6'E2.7'E3.0'E3.1'E3.2'E3.3'E3.4'E3.5'E3.6'E3.7'E4.0'E4.1'E4.2'E4.3'E4.4'E4.5'E4.6'E4.7'M20.0'M20.1'M20.2'M20.3'M20.4'M20.5'M20.6'M20.7'M21.0'M21.1'M21.2'M21.3'M21.4'M21.5'M21.6'M21.7'M22.0'M22.1'M22.2'M22.3'M22.4'M22.5'M22.6'M22.7'M23.0'M23.1'M23.2'M23.3'M23.4'M23.5'M23.6'M23.7'M24.0'M24.1'M24.2'M24.3'M24.4'M24.5'M24.6'M24.7'M25.0'M25.1'M25.2'M25.3'M25.4'M25.5'M25.6'M25.7'M26.0'M26.1'M26.2'M26.3'M26.4'M26.5'M26.6'M26.7'DB10'DB10'DB10'DB10'DB10'DB10'DB10'DB10'DB10'
Имя'E1.0'E1.1'E1.2'C3-FT1'C3-FC2'C3-FC3'C3-FC4'C3-FC5'C3-FC6'C3-FC7'C3-FC8'C3-FC9'C3-FC10'C3-FC11'RIF.P1'RIF.P2'C4-FC1'C4-FC2'C4-FC3'C4-FC4'C4-FC5'C4-FC6'C4-FC7'C4-FC8'C4-FC9'C4-FC10'C4-FC11'C4-FC12'C4-FC13'C4-FC14'C4-FC15'C4-FC16'M20.0'M20.1'M20.2'M20.3'M20.4'M20.5'M20.6'M20.7'M21.0'M21.1'M21.2'M21.3'M21.4'M21.5'M21.6'M21.7'M22.0'M22.1'M22.2'M22.3'M22.4'M22.5'M22.6'M22.7'M23.0'M23.1'M23.2'M23.3'M23.4'M23.5'M23.6'M23.7'M24.0'M24.1'M24.2'M24.3'M24.4'M24.5'M24.6'M24.7'M25.0'M25.1'M25.2'M25.3'M25.4'M25.5'M25.6'M25.7'M26.0'M26.1'M26.2'M26.3'M26.4'M26.5'M26.6'M26.7' DW40' DW45' DW48' DW50' DW78' DW80' DW108' DW109' DW110'
Комментарий'*'*'*'induktiwnyj dat~ik priwqzki pgr'pgr w na~ale puti'pgr w konce puti'ip sbornika opilok pgr'rp sbornika opilok pgr'ip pgr'rp pgr'ip mehanizma privima profilq pgr'ip (0) privima profilq pgr'ip podxemnika profilq pgr'rp podxemnika profilq pgr'opti~eskaq priwqzka p1 k pgr'opti~eskaq priwqzka p2 k pgr'p1 w na~ale puti (0)'p1 w na~ale rabo~ej zony (0)'p1 w konce rabo~ej zony'p1 w konce puti'p2 w na~ale puti (0)'p2 w na~ale rabo~ej zony (0)'p2 w konce rabo~ej zony'p2 w konce puti'ip osnowaniq zavima p1'ip zavima p1 (0)'p1 wwerhu'p1 wnizu'ip osnowaniq zavima p2'ip zavima p2 (0)'p2 wwerhu'p2 wnizu'signal ust. na 0 |nkodera p1'signal ust. na 0 |nkodera p2'sbros pullera'sbros cikla pullera'polov. p1 >= polov. p2'signal sbliveniq p < 8 m'signal sbliveniq p < 2 m'pullera w raznyh urownqh (bezopasnostx)'priznak iskl`~eniq p1'priznak iskl`~eniq p2'priznak iskl`~eniq p'signal p1 i p2 w zone kollizii'blokir.nazad p1 i wpered p2 dlq kollizii'blokir.nazad p2 i wpered p1 dlq kollizii'polovenie p1 >= razmera ostanowki'polovenie p2 >= razmera ostanowki'razre{enie wozwrata p1 k ostanowke'razre{.ostanow. p1 k na~alu proizwodstwa'razre{.ostanow. p1 na tel. pgr'razre{enie opuskaniq p1'razre{enie wozwrata p1 dlq scepki'razre{enie zakrytiq zavima p1'priznak p1 w ovidanii tqgi'priznak p1 tqnet'priznak p1 w wyrawniwanii'ostanowka p1 w konce wyrawniwaniq'razre{enie otkrywaniq zavima p1'*'razre{enie podxema p1'*'*'*'razre{. wozwrata p2 k ostanowke'razre{. ostanow.p2 k na~alu proizwodstwa'razre{. ostanowki p2 na tel.pgr'razre{enie opuskaniq p2'razre{enie wozwrata p2 dlq scepki'razre{enie zakrywaniq zavima p2'priznak p2 w ovidanii dlq tqgi'razre{enie tqgi p2'razre{enie wyrawniwaniq p2'razre{.ostanowka p2 w konce wyrawniwaniq'razre{enie otkrytiq zavima p2'*'razre{enie podxema p2'signal polomki |nkodera ili dejstwiq p1'signal p1 ubegaet'signal polomki |nkodera ili dejstwiq p2'signal p2 ubegaet'razre{. ostanowki p1 w 7 m ot pily ot p2'razre{. ostanowki p2 w 7 m ot pily ot p1'razre{.obmena wkl.ry~aga mevdu pullerami'priznak raboty w cikle s 1/2 zagotowki'okon~anie pressowaniq pressa'okon~anie pressowaniq pressa'signal dostiv. razmera rezki ot p1' tekusch poz pgr' korr ottyazhki profilya pull' tek poz p1' tek poz p2' zadan skor p1' zadan skor p2' uskorenie pull' tyaga p1' tyaga p2'
10:40: 7,983'0'0'0'1'1'0'1'0'1'0'1'0'1'0'0'0'1'0'0'0'1'1'0'0'1'0'1'0'1'0'1'0'0'0'0'0'0'1'0'0'0'0'0'1'0'1'0'0'0'0'0'0'0'0'0'1'0'0'0'0'0'0'0'0'0'0'1'0'0'0'0'0'0'0'0'0'0'0'0'0'0'0'1'0'0'0'0'0'+00510'+00045'+01067'+01831'+00000'+00000'+00000'+00500'+00500'
10:40: 8,201'0'0'0'1'1'0'1'0'1'0'1'0'1'0'0'0'1'0'0'0'1'1'0'0'1'0'1'0'1'0'1'0'0'0'0'0'0'1'0'0'0'0'0'1'0'1'0'0'0'0'0'0'0'0'0'1'0'0'0'0'0'0'0'0'0'0'1'0'0'0'0'0'0'0'0'0'0'0'0'0'0'0'1'0'0'0'0'0'+00510'+00045'+01067'+01831'+00000'+00000'+00000'+00500'+00500'
10:40: 8,365'0'0'0'1'1'0'1'0'1'0'1'0'1'0'0'0'1'0'0'0'1'1'0'0'1'0'1'0'1'0'1'0'0'0'0'0'0'1'0'0'0'0'0'1'0'1'0'0'0'0'0'0'0'0'0'1'0'0'0'0'0'0'0'0'0'0'1'0'0'0'0'0'0'0'0'0'0'0'0'0'0'0'1'0'0'0'0'0'+00510'+00045'+01067'+01831'+00000'+00000'+00000'+00500'+00500'
10:40: 8,547'0'0'0'1'1'0'1'0'1'0'1'0'1'0'0'0'1'0'0'0'1'1'0'0'1'0'1'0'1'0'1'0'0'0'0'0'0'1'0'0'0'0'0'1'0'1'0'0'0'0'0'0'0'0'0'1'0'0'0'0'0'0'0'0'0'0'1'0'0'0'0'0'0'0'0'0'0'0'0'0'0'0'1'0'0'0'0'0'+00510'+00045'+01067'+01831'+00000'+00000'+00000'+00500'+00500'
10:40: 8,719'0'0'0'1'1'0'1'0'1'0'1'0'1'0'0'0'1'0'0'0'1'1'0'0'1'0'1'0'1'0'1'0'0'0'0'0'0'1'0'0'0'0'0'1'0'1'0'0'0'0'0'0'0'0'0'1'0'0'0'0'0'0'0'0'0'0'1'0'0'0'0'0'0'0'0'0'0'0'0'0'0'0'1'0'0'0'0'0'+00510'+00045'+01067'+01831'+00000'+00000'+00000'+00500'+00500'
10:40: 8,910'0'0'0'1'1'0'1'0'1'0'1'0'1'0'0'0'1'0'0'0'1'1'0'0'1'0'1'0'1'0'1'0'0'0'0'0'0'1'0'0'0'0'0'1'0'1'0'0'0'0'0'0'0'0'0'1'0'0'0'0'0'0'0'0'0'0'1'0'0'0'0'0'0'0'0'0'0'0'0'0'0'0'1'0'0'0'0'0'+00510'+00045'+01067'+01831'+00000'+00000'+00000'+00500'+00500'
10:40: 9, 83'0'0'0'1'1'0'1'0'1'0'1'0'1'0'0'0'1'0'0'0'1'1'0'0'1'0'1'0'1'0'1'0'0'0'0'0'0'1'0'0'0'0'0'1'0'1'0'0'0'0'0'0'0'0'0'1'0'0'0'0'0'0'0'0'0'0'1'0'0'0'0'0'0'0'0'0'0'0'0'0'0'0'1'0'0'0'0'0'+00510'+00045'+01067'+01831'+00000'+00000'+00000'+00500'+00500'
10:40: 9,256'0'0'0'1'1'0'1'0'1'0'1'0'1'0'0'0'1'0'0'0'1'1'0'0'1'0'1'0'1'0'1'0'0'0'0'0'0'1'0'0'0'0'0'1'0'1'0'0'0'0'0'0'0'0'0'1'0'0'0'0'0'0'0'0'0'0'1'0'0'0'0'0'0'0'0'0'0'0'0'0'0'0'1'0'0'0'0'0'+00510'+00045'+01067'+01831'+00000'+00000'+00000'+00500'+00500'
10:40: 9,429'0'0'0'1'1'0'1'0'1'0'1'0'1'0'0'0'1'0'0'0'1'1'0'0'1'0'1'0'1'0'1'0'0'0'0'0'0'1'0'0'0'0'0'1'0'1'0'0'0'0'0'0'0'0'0'1'0'0'0'0'0'0'0'0'0'0'1'0'0'0'0'0'0'0'0'0'0'0'0'0'0'0'1'0'0'0'0'0'+00510'+00045'+01067'+01831'+00000'+00000'+00000'+00500'+00500'
10:40: 9,601'0'0'0'1'1'0'1'0'1'0'1'0'1'0'0'0'1'0'0'0'1'1'0'0'1'0'1'0'1'0'1'0'0'0'0'0'0'1'0'0'0'0'0'1'0'1'0'0'0'0'0'0'0'0'0'1'0'0'0'0'0'0'0'0'0'0'1'0'0'0'0'0'0'0'0'0'0'0'0'0'0'0'1'0'0'0'0'0'+00510'+00045'+01067'+01831'+00000'+00000'+00000'+00500'+00500'
10:40: 9,774'0'0'0'1'1'0'1'0'1'0'1'0'1'0'0'0'1'0'0'0'1'1'0'0'1'0'1'0'1'0'1'0'0'0'0'0'0'1'0'0'0'0'0'1'0'1'0'0'0'0'0'0'0'0'0'1'0'0'0'0'0'0'0'0'0'0'1'0'0'0'0'0'0'0'0'0'0'0'0'0'0'0'1'0'0'0'0'0'+00510'+00045'+01067'+01831'+00000'+00000'+00000'+00500'+00500'
10:40: 9,965'0'0'0'1'1'0'1'0'1'0'1'0'1'0'0'0'1'0'0'0'1'1'0'0'1'0'1'0'1'0'1'0'0'0'0'0'0'1'0'0'0'0'0'1'0'1'0'0'0'0'0'0'0'0'0'1'0'0'0'0'0'0'0'0'0'0'1'0'0'0'0'0'0'0'0'0'0'0'0'0'0'0'1'0'0'0'0'0'+00510'+00045'+01067'+01831'+00000'+00000'+00000'+00500'+00500'
